groupsize,protocol,operation,clientrole,setuptime,operationtime
32,FULL,remove,SENDER,7.410013,7.554223
32,FULL,remove,RECIPIENT,8.494443,1.330206
32,FULL,remove,RECIPIENT,7.563754,7.615106
32,FULL,remove,RECIPIENT,8.105976,8.177506
32,FULL,remove,RECIPIENT,7.537502,8.174552
32,FULL,remove,RECIPIENT,8.39224,7.728476
32,FULL,remove,RECIPIENT,8.147023,8.569864
32,FULL,remove,RECIPIENT,7.855249,7.85347
32,FULL,remove,RECIPIENT,8.161759,8.679238
32,FULL,remove,RECIPIENT,7.562187,7.608121
32,FULL,remove,RECIPIENT,8.264982,7.868905
32,FULL,remove,RECIPIENT,7.9918,9.466178
32,FULL,remove,RECIPIENT,7.508275,8.007946
32,FULL,remove,RECIPIENT,8.286908,8.066408
32,FULL,remove,RECIPIENT,8.943459,7.621879
32,FULL,remove,RECIPIENT,8.007828,8.759876
32,FULL,remove,RECIPIENT,7.686265,8.353795
32,FULL,remove,RECIPIENT,8.185964,9.039996
32,FULL,remove,RECIPIENT,7.99751,8.657843
32,FULL,remove,RECIPIENT,8.778988,10.246085
32,FULL,remove,RECIPIENT,8.410961,8.768497
32,FULL,remove,RECIPIENT,8.57685,8.443405
32,FULL,remove,RECIPIENT,9.237076,8.999184
32,FULL,remove,RECIPIENT,7.815632,7.689891
32,FULL,remove,RECIPIENT,7.816077,7.676215
32,FULL,remove,RECIPIENT,7.816186,8.629517
32,FULL,remove,RECIPIENT,8.722821,8.09902
32,FULL,remove,RECIPIENT,7.508595,8.872077
32,FULL,remove,RECIPIENT,9.151129,7.967918
32,FULL,remove,RECIPIENT,8.01135,8.19924
32,FULL,remove,RECIPIENT,7.555559,8.202696
32,FULL,remove,RECIPIENT,9.108939,8.676256
11,FULL,message,SENDER,2.613094,0.09975
11,FULL,message,RECIPIENT,2.892663,0.281029
11,FULL,message,RECIPIENT,3.216537,0.43938
11,FULL,message,RECIPIENT,3.110845,0.30566
11,FULL,message,RECIPIENT,2.959351,0.306969
11,FULL,message,RECIPIENT,3.492546,0.321069
11,FULL,message,RECIPIENT,3.852299,1.017509
11,FULL,message,RECIPIENT,3.514001,0.30672
11,FULL,message,RECIPIENT,2.992713,0.358799
11,FULL,message,RECIPIENT,4.881758,0.329289
11,FULL,message,RECIPIENT,3.484062,0.36093
22,FULL,message,SENDER,4.854436,0.270759
22,FULL,message,RECIPIENT,5.648767,0.4095
22,FULL,message,RECIPIENT,5.970081,0.333089
22,FULL,message,RECIPIENT,5.641712,0.434339
22,FULL,message,RECIPIENT,5.401799,0.5094
22,FULL,message,RECIPIENT,5.576086,0.306809
22,FULL,message,RECIPIENT,5.301091,0.327779
22,FULL,message,RECIPIENT,6.812397,0.38412
22,FULL,message,RECIPIENT,5.217805,0.31462
22,FULL,message,RECIPIENT,5.018298,0.2855
22,FULL,message,RECIPIENT,5.986006,1.080619
22,FULL,message,RECIPIENT,5.424064,0.29769
22,FULL,message,RECIPIENT,5.636857,0.388289
22,FULL,message,RECIPIENT,5.358812,0.31519
22,FULL,message,RECIPIENT,5.238139,0.37874
22,FULL,message,RECIPIENT,5.269089,0.28639
22,FULL,message,RECIPIENT,5.335938,0.29369
22,FULL,message,RECIPIENT,5.293854,0.31719
22,FULL,message,RECIPIENT,5.3859,0.31534
22,FULL,message,RECIPIENT,5.515977,0.27832
22,FULL,message,RECIPIENT,6.29117,0.303439
22,FULL,message,RECIPIENT,5.614591,0.47473
64,FULL,remove,SENDER,14.859027,15.445656
64,FULL,remove,RECIPIENT,15.679962,0.926279
64,FULL,remove,RECIPIENT,14.897703,15.636572
64,FULL,remove,RECIPIENT,14.713623,14.114304
64,FULL,remove,RECIPIENT,15.759258,13.759772
64,FULL,remove,RECIPIENT,15.470016,14.316538
64,FULL,remove,RECIPIENT,15.590079,14.474758
64,FULL,remove,RECIPIENT,15.309874,13.948698
64,FULL,remove,RECIPIENT,15.167703,14.115203
64,FULL,remove,RECIPIENT,15.025131,14.212048
64,FULL,remove,RECIPIENT,15.012032,13.93242
64,FULL,remove,RECIPIENT,15.475046,13.948801
64,FULL,remove,RECIPIENT,14.462363,13.747512
64,FULL,remove,RECIPIENT,15.668264,13.753342
64,FULL,remove,RECIPIENT,16.184114,13.9824
64,FULL,remove,RECIPIENT,15.83813,14.045286
64,FULL,remove,RECIPIENT,14.643562,13.615341
64,FULL,remove,RECIPIENT,14.580451,13.664313
64,FULL,remove,RECIPIENT,15.576492,13.935908
64,FULL,remove,RECIPIENT,15.808178,14.751291
64,FULL,remove,RECIPIENT,14.716914,13.891529
64,FULL,remove,RECIPIENT,15.013038,15.499817
64,FULL,remove,RECIPIENT,14.866178,14.325901
64,FULL,remove,RECIPIENT,15.349643,14.741002
64,FULL,remove,RECIPIENT,14.570762,14.343606
64,FULL,remove,RECIPIENT,15.325518,14.40797
64,FULL,remove,RECIPIENT,15.144876,13.978133
64,FULL,remove,RECIPIENT,14.424341,14.184653
64,FULL,remove,RECIPIENT,14.812181,14.302842
64,FULL,remove,RECIPIENT,15.348262,14.252681
64,FULL,remove,RECIPIENT,14.43839,13.704471
64,FULL,remove,RECIPIENT,14.952446,14.226066
64,FULL,remove,RECIPIENT,15.881274,15.763916
64,FULL,remove,RECIPIENT,15.313599,14.91532
64,FULL,remove,RECIPIENT,15.12471,14.104441
64,FULL,remove,RECIPIENT,14.99721,14.352878
64,FULL,remove,RECIPIENT,15.239195,14.066222
64,FULL,remove,RECIPIENT,15.582244,15.287816
64,FULL,remove,RECIPIENT,14.62982,14.622135
64,FULL,remove,RECIPIENT,15.194236,14.149419
64,FULL,remove,RECIPIENT,15.088802,15.076335
64,FULL,remove,RECIPIENT,15.48649,14.201255
64,FULL,remove,RECIPIENT,15.458203,14.457932
64,FULL,remove,RECIPIENT,15.107337,16.007713
64,FULL,remove,RECIPIENT,15.449152,14.752814
64,FULL,remove,RECIPIENT,14.833298,13.652064
64,FULL,remove,RECIPIENT,14.244636,13.761359
64,FULL,remove,RECIPIENT,15.818772,13.767003
64,FULL,remove,RECIPIENT,15.246461,13.848832
64,FULL,remove,RECIPIENT,14.522702,14.793429
64,FULL,remove,RECIPIENT,16.41087,15.232188
64,FULL,remove,RECIPIENT,14.625366,13.904074
64,FULL,remove,RECIPIENT,14.816464,13.844044
64,FULL,remove,RECIPIENT,14.261903,13.622938
64,FULL,remove,RECIPIENT,15.13692,13.699803
64,FULL,remove,RECIPIENT,14.808801,14.835295
64,FULL,remove,RECIPIENT,16.14904,13.596052
64,FULL,remove,RECIPIENT,15.381743,13.671671
64,FULL,remove,RECIPIENT,16.011533,14.955414
64,FULL,remove,RECIPIENT,14.650563,14.366893
64,FULL,remove,RECIPIENT,15.659806,14.630022
64,FULL,remove,RECIPIENT,15.126601,14.927391
64,FULL,remove,RECIPIENT,14.970614,14.533599
64,FULL,remove,RECIPIENT,15.106609,15.07573
32,FULL,remove,SENDER,6.622932,6.234694
32,FULL,remove,RECIPIENT,7.292275,0.613543
32,FULL,remove,RECIPIENT,7.662006,6.424232
32,FULL,remove,RECIPIENT,7.93967,6.598851
32,FULL,remove,RECIPIENT,7.217256,6.331652
32,FULL,remove,RECIPIENT,7.07139,6.512041
32,FULL,remove,RECIPIENT,7.55762,6.574972
32,FULL,remove,RECIPIENT,7.098983,6.487651
32,FULL,remove,RECIPIENT,7.360525,6.365502
32,FULL,remove,RECIPIENT,7.739526,6.386003
32,FULL,remove,RECIPIENT,7.789947,6.390541
32,FULL,remove,RECIPIENT,7.090005,6.641069
32,FULL,remove,RECIPIENT,7.192001,7.46859
32,FULL,remove,RECIPIENT,7.891219,6.57091
32,FULL,remove,RECIPIENT,7.20228,6.826611
32,FULL,remove,RECIPIENT,8.261466,6.860712
32,FULL,remove,RECIPIENT,6.962829,6.692382
32,FULL,remove,RECIPIENT,7.406092,6.559947
32,FULL,remove,RECIPIENT,7.182698,6.502593
32,FULL,remove,RECIPIENT,7.889908,6.423631
32,FULL,remove,RECIPIENT,7.573539,6.373542
32,FULL,remove,RECIPIENT,8.243591,6.446881
32,FULL,remove,RECIPIENT,7.08171,6.622402
32,FULL,remove,RECIPIENT,7.069332,6.344692
32,FULL,remove,RECIPIENT,7.084542,6.634352
32,FULL,remove,RECIPIENT,7.232802,6.651871
32,FULL,remove,RECIPIENT,7.741274,6.449371
32,FULL,remove,RECIPIENT,7.347352,6.476096
32,FULL,remove,RECIPIENT,7.27635,6.599411
32,FULL,remove,RECIPIENT,7.33665,6.355932
32,FULL,remove,RECIPIENT,7.326176,6.588342
32,FULL,remove,RECIPIENT,7.600861,6.65624
128,FULL,add,SENDER,29.18088,34.176207
128,FULL,add,RECIPIENT,29.911877,30.728967
128,FULL,add,RECIPIENT,29.556849,32.550997
128,FULL,add,RECIPIENT,29.62428,33.282486
128,FULL,add,RECIPIENT,29.604887,32.54657
128,FULL,add,RECIPIENT,29.062582,33.238749
